                                                INSTITUCION EDUCATIVA_TP
                                         DETALLE DE PAGOS REALIZADOS POR CICLO
                                                     CICLO: 2023-1
========================================================================================================================
      ALUMNOS                                             No. DE CURSOS     CREDITOS       ESCALA       MONTO PAGADO
20233583 - HENRRY HUMBERTO PALOMARES PALOMARES                  1             3.75            B           1222.99
20195244 - CARMELA INES CORTEZ CORTEZ                           3            13.25            A           3400.48
20197155 - WILLIAMS JUSTINO JUSTINO                             2             7.00            A           1796.48
20197480 - JOSE ROLANDO CERNA CERNA                             2             7.75            A           1988.96
20205844 - TATIANA NANCY VILLA VILLA                            3            10.75            A           2758.88
20233816 - RONY GONZALO VALVERDE VALVERDE                       3            12.00            E           6958.92
20221873 - ALEX HENRIQUEZ HENRIQUEZ                             2             9.75            B           3179.77
20197378 - DORIS FREYSA VILLEGAS VILLEGAS                       5            18.00            B           5870.34
20205864 - JOHANA MALDONADO MALDONADO                           3            12.75            D           6281.29
20207053 - MARTHA LOZADA LOZADA                                 2             6.00            C           2433.24
20198845 - ADOLFO LANDEO LANDEO                                 3            11.00            E           6379.01
20216298 - SILVANA MALDONADO MALDONADO                          3            10.25            E           5944.08
20227724 - HELI CORONEL CORONEL                                 4            15.75            D           7759.24
20227341 - MAGALI SILVANA DIAZ DIAZ                             2             8.50            D           4187.52
20226455 - BEATRIZ HENRIQUEZ HENRIQUEZ                          2             7.50            B           2445.97
20198237 - ROLANDO CASTRO CASTRO                                1             2.75            C           1115.24
20236453 - EDRIC RONALD ARCA ARCA                               4            17.25            B           5625.74
20198922 - MOISES MIGUEL PAIRAZAMAN PAIRAZAMAN                  3            10.25            E           5944.08
20229272 - JOHANA YDALI CRUZ CRUZ                               3            10.00            E           5799.10
20212697 - OSCAR RETAMOSO RETAMOSO                              1             5.00            C           2027.70
20191754 - JOHNNY MOYA MOYA                                     1             3.75            D           1847.44
20236102 - DANIEL SALAS SALAS                                   2             6.50            B           2119.84
20224223 - SURAMI JANET PASQUEL PASQUEL                         1             3.25            E           1884.71
20236905 - MELVIN HENRRY LAURA LAURA                            4            15.50            A           3977.92
20193490 - JOHAN CORONADO CORONADO                              3            13.75            C           5576.18
20197557 - SANDRO CARO CARO                                     1             4.25            D           2093.76
20198608 - YVONNE ROSARIO GORDILLO GORDILLO                     4            17.25            B           5625.74
20229400 - GUILLERMO ALFONSO DELGADO DELGADO                    5            18.00            A           4619.52
20218679 - JAVIER DANIEL AURIS AURIS                            4            17.00            D           8375.05
20208971 - RAFAEL SUAREZ SUAREZ                                 4            17.00            C           6894.18
20207741 - GUILLERMO EDRIC CABRERA CABRERA                      1             3.25            E           1884.71
20193891 - ELIA ROSA CAMACHO CAMACHO                            3            13.50            D           6650.77
20208175 - WILLIAMS CHRISTIAN HIJAR HIJAR                       4            17.25            A           4427.04
20225162 - CESAR BRUNO PISCOYA PISCOYA                          2             6.75            C           2737.39
20198434 - SILVANA CHAVEZ CHAVEZ                                2            10.50            D           5172.82
------------------------------------------------------------------------------------------------------------------------
MONTO TOTAL PAGADO:                                                                                     335528.48
========================================================================================================================
