                                                                                                                              VERIFICAR DATOS DE EMPRESAS
========================================================================================================================================================================================================================================================================================
                                             EMPRESA                                                                                               FECHA INF.         FECHA PAGO                             TOTAL PAGADO                             CANTIDAD
No.  DNI        NOMBRE                                       DISTRITO                     PLACAS                                                  MAS ANTIGUA        MAS RECIENTE                LEVES          GRAVES           MUY GRAVES           DE FALTAS
29)  73567806   ARCA SANCHEZ MAGALI BEATRIZ IRIS             SANTA ANITA                  M993-637/P426-388/M666-407/G458-550                     99/99/9999          00/00/0                  0.00            0.00               0.00               0
30)  89941095   ARCA LARRIEGA LUCERO YLIANA                  COMAS                        P860-616/G226-459/P474-593/G138-788/M708-335            99/99/9999          00/00/0                  0.00            0.00               0.00               0
31)  87282766   SUAREZ CHANG GLORIA                          SAN BARTOLO                  M440-802                                                99/99/9999          00/00/0                  0.00            0.00               0.00               0
32)  73972114   AVILA MARTEL JAIME MANUEL                    SAN JUAN DE LURIGANCHO       M862-577/G657-925/M646-319/M655-864/P255-643            99/99/9999          00/00/0                  0.00            0.00               0.00               0
33)  79766395   FUENTES ESCALANTE PATRICIA ELIZABETH         SANTA ANITA                  G485-562/P195-859/G763-950                              99/99/9999          00/00/0                  0.00            0.00               0.00               0
34)  74325123   TANG MOSCOSO JOHANA                          LA MOLINA                    P905-539/P770-513/G968-856/G214-608/M348-264            99/99/9999          00/00/0                  0.00            0.00               0.00               0
35)  13628871   QUIROGA HERNANDEZ SILVANA ZKENIA MARIA       INDEPENDENCIA                P203-441                                                99/99/9999          00/00/0                  0.00            0.00               0.00               0
36)  75945248   MEJIA RODRIGUEZ INES VALENTINA               PUNTA HERMOSA                P939-759/G450-448/G721-932                              99/99/9999          00/00/0                  0.00            0.00               0.00               0
37)  80310768   MINAYA BERROCAL HELI                         CARABAYLLO                   M982-853/G752-478/G893-799/M267-848/M477-146            99/99/9999          00/00/0                  0.00            0.00               0.00               0
38)  47528229   SAAVEDRA GONZALES WILMER                     CHORRILLOS                   P325-365/M466-711                                       99/99/9999          00/00/0                  0.00            0.00               0.00               0
39)  82031355   EGUSQUIZA BERROCAL DORIS NANCY               PUCUSANA                     P386-900/M599-949                                       99/99/9999          00/00/0                  0.00            0.00               0.00               0
========================================================================================================================================================================================================================================================================================
                                                                                                                                                                                 TOTALES:         0.00            0.00               0.00               0
========================================================================================================================================================================================================================================================================================
