========================================================================================================================
                                            VERIFICAR DATOS DE LOS CLIENTES
========================================================================================================================
                     No.   DNI            NOMBRE DEL CLIENTE                      COD. DEL DISTRITO
                     069)  59596317       AYALA VIZCARDO EDGAR MANUEL                  LO3562
                     070)  93231760       CHUMPITAZ ALCOCER ANGEL ERICK                LN7752
                     071)  93939698       CHUMPITAZ PALOMARES VIRGINIA                 LE7040
                     072)  41964357       VILLA SEDANO MARTIN JUVENAL                  LO3562
                     073)  79133967       GUEVARA MIYAKE MILENA                        LO4439
                     074)  72937662       ROSEMBERG LAU JULIO HENRRY                   LO4328
                     075)  59199342       ZAMBRANO MOSCOSO OFELIA MARIA                LO5964
                     076)  67277765       CORTEZ SEGURA CARMELA INES                   LO9222
                     077)  92980780       VEGA MUNOZ GONZALO                           LO4439
                     078)  65278099       HIJAR PAIRAZAMAN JENNY DELICIA               LS8594
                     079)  78223294       ALAMO PAIRAZAMAN MIGUEL ROBERTO              LO9443
                     080)  81334083       CORONADO FIGUEROA JOHAN                      LO3691
                     081)  49573578       RUIZ GORDILLO CAROLA ERIKA                   LE7040
                     082)  31526241       CALIXTO TOMASICHE MONICA DORIS               LO4328
                     083)  80740735       ANTEZANO SEGURA TERESA DELIA                 LO4328
                     084)  73518695       ZARATE DEL POZO HUMBERTO ANTONIO             LE7894
                     085)  76595144       GAVIDIA MENDOZA RONALD JOHNNY                LE7894
                     086)  37769366       PATINO CHUNG BEATRIZ ROSA                    LO9222
                     087)  40711531       SEGURA MALCA RONY                            LE3053
                     088)  82583252       FARFAN FALCON ELIZABETH KARIN                LO9443
                     089)  31712526       SUCHERO EPIQUEN EDGAR JAVIER                 LE7040
                     090)  32352361       ASTETE RIOS CESAR WILVER                     LN2958
                     091)  51808448       MEREL SALAZAR ANNIE LOURDES                  LO3562
                     092)  46466842       SUELDO RUIZ ANTONIO                          LS8594
                     093)  65308391       DIAZ REYES WALTER EDGAR                      LN2958
                     094)  56100384       LAU BACA MONICA TERESA                       LE3716
                     095)  52650965       URBINA HIJAR RAFAEL                          LO1657
                     096)  64262396       URBINA CASTILLO HELI                         LN7093
                     097)  22303979       FALCON PRECIADO ALEX HENRY                   LS8280
                     098)  51108372       DE LA CUBA JUGO LUCERO DELICIA               LO4439
                     099)  38986512       DURAND MEZA WALDEMAR EDGARD                  LE3716
                     100)  63230770       SALAS URBINA MAGDA CARMEN                    LE7894
                     101)  86297512       VILLEGAS LEIVA FELICITA                      LO2220
========================================================================================================================
